Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
"(1, 2, 3)",{2: 0},{},"0,8341783029001074"
"(1, 2, 3)",{2: 0},{3: 0},"0,8118254510735715"
"(1, 2, 3)",{2: 0},{4: 1},"0,8256421632198031"
"(1, 2, 3)",{2: 0},"{3: 0, 4: 1}","0,8418396499436056"
"(1, 2, 3)",{3: 1},{},"0,8211552797102036"
"(1, 2, 3)",{3: 1},{3: 0},"0,8505361914972899"
"(1, 2, 3)",{3: 1},{4: 1},"0,8281777228982198"
"(1, 2, 3)",{3: 1},"{3: 0, 4: 1}","0,876315463984637"
"(1, 2, 3)",{4: 2},{},"0,8281906063860952"
"(1, 2, 3)",{4: 2},{3: 0},"0,874888444888445"
"(1, 2, 3)",{4: 2},{4: 1},"0,8036440752230226"
"(1, 2, 3)",{4: 2},"{3: 0, 4: 1}","0,8195416787636468"
"(1, 2, 3)","{2: 0, 3: 1}",{},"0,8150368678940108"
"(1, 2, 3)","{2: 0, 3: 1}",{3: 0},"0,8287940630797773"
"(1, 2, 3)","{2: 0, 3: 1}",{4: 1},"0,8283145426002569"
"(1, 2, 3)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8712167971401421"
"(1, 2, 3)","{2: 0, 4: 2}",{},"0,8502031476206042"
"(1, 2, 3)","{2: 0, 4: 2}",{3: 0},"0,8207669571250846"
"(1, 2, 3)","{2: 0, 4: 2}",{4: 1},"0,7818728890157461"
"(1, 2, 3)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8344666720443119"
"(1, 2, 3)","{3: 1, 4: 2}",{},"0,8243311934877806"
"(1, 2, 3)","{3: 1, 4: 2}",{3: 0},"0,8481689970888577"
"(1, 2, 3)","{3: 1, 4: 2}",{4: 1},"0,824118017013033"
"(1, 2, 3)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,7964935064935065"
"(1, 2, 3)","{2: 0, 3: 1, 4: 2}",{},"0,8289324710377342"
"(1, 2, 3)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,874908424908425"
"(1, 2, 3)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8250118411609095"
"(1, 2, 3)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,7941910084767226"
"(1, 2, 4)",{},{},"0,8408991850658584"
"(1, 2, 4)",{},{3: 0},"0,8254893085556702"
"(1, 2, 4)",{},{4: 1},"0,8218728890157462"
"(1, 2, 4)",{},"{3: 0, 4: 1}","0,840070881499453"
"(1, 2, 4)",{2: 0},{},"0,8378617683880842"
"(1, 2, 4)",{2: 0},{3: 0},"0,8035539397945414"
"(1, 2, 4)",{2: 0},{4: 1},"0,8318614718614719"
"(1, 2, 4)",{2: 0},"{3: 0, 4: 1}","0,8051423731547954"
"(1, 2, 4)",{3: 1},{},"0,8309900673481948"
"(1, 2, 4)",{3: 1},{3: 0},"0,8117180396879645"
"(1, 2, 4)",{3: 1},{4: 1},"0,8153158620827794"
"(1, 2, 4)",{3: 1},"{3: 0, 4: 1}","0,8628896776101743"
"(1, 2, 4)",{4: 2},{},"0,8255468573238608"
"(1, 2, 4)",{4: 2},{3: 0},"0,8145854145854147"
"(1, 2, 4)",{4: 2},{4: 1},"0,837777853616363"
